,vocab,count
473,worth,91
474,front,91
475,sydney,91
476,wake,91
477,funny,90
478,political,90
479,excite,90
480,sick,90
481,fund,90
482,area,90
483,lock,89
484,security,89
485,green,89
486,gold,88
487,enough,88
488,hell,88
489,bloody,88
490,form,88
491,teacher,88
492,shop,88
493,match,87
494,special,87
495,thread,87
496,education,87
497,science,87
498,situation,87
499,amazing,87
500,international,86
501,email,86
502,data,86
503,idiot,86
504,hello,86
505,hair,85
506,date,85
507,heard,85
508,joke,85
509,impact,85
510,havent,85
511,research,85
512,office,85
513,tax,85
514,complete,85
515,fail,85
516,tip,85
517,welcome,85
518,doctor,85
519,saturday,84
520,cost,84
521,private,84
522,national,84
523,correct,84
524,support,84
525,space,84
526,update,83
527,body,83
528,strong,83
529,opinion,83
530,protect,83
531,aussie,83
532,sleep,82
533,series,82
534,fantastic,82
535,half,82
536,dead,82
537,stupid,82
538,uk,82
539,respect,82
540,war,82
541,cold,81
542,hot,81
543,ball,81
544,door,80
545,movie,80
546,price,80
547,self,80
548,beach,80
549,normal,79
550,low,79
551,mention,79
552,baby,79
553,app,79
554,memory,79
555,access,79
556,episode,79
557,pic,78
558,have,78
559,policy,78
560,kick,78
561,note,78
562,shot,78
563,congrats,78
564,worse,78
565,medical,77
566,project,77
567,sun,77
568,horse,77
569,charge,77
570,wouldnt,77
571,holiday,77
572,treat,77
573,tough,77
574,personal,77
575,receive,77
576,choice,76
577,doubt,76
578,america,76
579,president,76
580,round,76
581,touch,76
582,claim,76
583,federal,76
584,possible,76
585,suggest,76
586,cheer,76
587,manage,75
588,simple,75
589,km,75
590,climate,75
591,fly,75
592,similar,75
593,position,74
594,monday,74
595,version,74
596,non,74
597,omg,74
598,stick,74
599,isolation,74
600,evidence,74
601,press,74
602,minister,74
603,increase,74
604,cop,74
605,north,74
606,hang,73
607,hospital,73
608,begin,73
609,laugh,73
610,option,73
611,south,73
612,couldnt,73
613,cute,73
614,fix,73
615,shut,73
616,bed,73
617,crazy,73
618,beat,73
619,surprise,73
620,breakfast,73
621,sale,73
622,red,72
623,mental,72
624,west,72
625,dad,72
626,study,72
627,program,72
628,blue,72
629,rock,71
630,type,71
631,rise,71
632,cannot,71
633,sho,71
634,push,71
635,style,71
636,wasnt,71
637,present,71
638,figure,71
639,politics,71
640,box,71
641,worst,70
642,roll,70
643,usa,70
644,damn,70
645,decide,70
646,podcast,70
647,colour,70
648,co,70
649,fear,70
650,interview,69
651,repo,69
652,son,69
653,ppl,69
654,card,69
655,celebrate,69
656,daily,69
657,cover,69
658,page,69
659,mark,69
660,design,69
661,clean,69
662,lucky,68
663,offer,68
664,focus,68
665,suck,68
666,plenty,68
667,crisis,68
668,footy,68
669,report,68
670,distance,67
671,standard,67
672,march,67
673,fall,67
674,politician,67
675,racist,67
676,rate,67
677,air,66
678,gt,66
679,product,66
680,reach,66
681,meeting,66
682,chinese,66
683,model,66
684,mr,66
685,role,66
686,same,66
687,force,66
688,serious,66
689,responsibility,65
690,major,65
691,benefit,65
692,realise,65
693,golf,65
694,absolute,65
695,cup,64
696,confirm,64
697,attack,64
698,loss,64
699,energy,64
700,zoom,64
701,easter,64
702,behaviour,64
703,cafe,64
704,tune,64
705,latest,63
706,double,63
707,protest,63
708,wave,63
709,effect,63
710,voice,63
711,promise,63
712,key,63
713,struggle,63
714,fwy,63
715,source,63
716,information,63
717,own,63
718,gorgeous,63
719,limit,63
720,compare,62
721,reply,62
722,difficult,62
723,entire,62
